"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 14 01:19:15 UTC 2026","Tue Apr 14 01:19:16 UTC 2026","760","tests.admin_panel","test_05_admin_support_users_token_revoke_all","","","","test_invalid_user_id_for_revoke_all_returns_client_error[abc]",""
"skipped","Tue Apr 14 01:26:23 UTC 2026","Tue Apr 14 01:26:23 UTC 2026","0","tests.cart","test_exclusive_preorder_cart_update","","","","test_cart_update_checks_quantity_after_permission_400[client]","
    Позитив+негатив
      - permission remaining_quantity=1
      - quantity=1 -> 200
      - quantity=2 -> 400
    "
"passed","Tue Apr 14 01:21:31 UTC 2026","Tue Apr 14 01:21:32 UTC 2026","781","tests.admin_panel.promo","test_75_delete_promotion_by_id","","","","test_delete_promotion_invalid_id[abc]","Негативный тест: удаление несуществующей или некорректной акции."
"passed","Tue Apr 14 01:19:30 UTC 2026","Tue Apr 14 01:19:31 UTC 2026","792","tests.catalog","test_get_admin_product_translation","","","","test_get_admin_product_translation_invalid_id[0]","Проверка получения перевода по невалидному product_id."
"passed","Tue Apr 14 01:11:17 UTC 2026","Tue Apr 14 01:11:17 UTC 2026","797","tests.admin_panel","test_04_generate_support_token","","","","test_invalid_user_id_for_token_returns_client_error[None]",""
"skipped","Tue Apr 14 01:23:30 UTC 2026","Tue Apr 14 01:23:31 UTC 2026","560","tests.delivery","test_get_kgpost_offices","","","","test_get_kgpost_offices_success[208110-client]",""
"broken","Tue Apr 14 01:08:44 UTC 2026","Tue Apr 14 01:08:44 UTC 2026","0","tests.admin_panel.products","test_44_upload_product_brand_images","","","","test_upload_product_brand_images_various_fields[5.3-fields_to_send3-400]","Негативный тест. Загрузка слишком большого изображения."
"skipped","Tue Apr 14 00:58:33 UTC 2026","Tue Apr 14 00:58:33 UTC 2026","0","tests.stock","test_create_stock","","","","test_create_stock_with_empty_string_log_if_not_200[is_office_entry_enabled]",""
"passed","Tue Apr 14 01:09:30 UTC 2026","Tue Apr 14 01:09:31 UTC 2026","813","tests.admin_panel.products","test_42_update_product_brand","","","","test_update_product_brand_invalid_id[9999999]","Негативный тест: несуществующий или некорректный ID."
"passed","Tue Apr 14 00:59:10 UTC 2026","Tue Apr 14 00:59:10 UTC 2026","551","tests.delivery","test_get_cities","","","","test_get_cities_search_by_city_name_success[admin]","
    Позитив: поиск по части названия
    "
"skipped","Tue Apr 14 01:20:23 UTC 2026","Tue Apr 14 01:20:23 UTC 2026","0","tests.fund","test_get_top_donors","","","","test_get_top_donors_invalid_params[invalid_param1-https://dev.ewahelps.com/api]","Негатив: неверные параметры должны дать 400 (при рабочем маршруте)."
"passed","Tue Apr 14 01:12:32 UTC 2026","Tue Apr 14 01:12:32 UTC 2026","557","tests.account","test_get_account_exists","","","","test_get_account_exists_positive[params2-admin]","Нкгатив: невлидны id"
"failed","Tue Apr 14 01:08:53 UTC 2026","Tue Apr 14 01:08:54 UTC 2026","580","tests.delivery","test_02_get_delivery_address","","","","test_history_pagination_total_and_search_filters[partner]","
    POST /delivery/address/history
      - сервер возвращает pagination.total
      - search фильтрует выдачу и total считает по отфильтрованным данным
      - пагинация по страницам консистентна
    "
"skipped","Tue Apr 14 00:58:19 UTC 2026","Tue Apr 14 00:58:19 UTC 2026","0","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter2-sort0-search0-pagination0-admin]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"passed","Tue Apr 14 00:51:18 UTC 2026","Tue Apr 14 00:51:19 UTC 2026","960","tests.one_c","test_cart_calculate_full_coverage","","","","test_products_various_qty[3]",""
"passed","Tue Apr 14 01:02:15 UTC 2026","Tue Apr 14 01:02:15 UTC 2026","543","tests.cart","test_02_get_delivery_cost","","","","test_get_delivery_cost_unauthorized","
    Негатив: запрос без авторизации/корзины
    "
"passed","Tue Apr 14 01:04:33 UTC 2026","Tue Apr 14 01:04:33 UTC 2026","225","tests.cart","test_update_location","","","","test_update_location_country_only",""
"broken","Tue Apr 14 01:08:29 UTC 2026","Tue Apr 14 01:08:29 UTC 2026","0","tests.admin_panel.categories","test_80_create_category_translation","","","","test_create_category_translation_success[ru]","Позитивный тест: создание/обновление перевода категории для разных языков."
"skipped","Tue Apr 14 01:23:52 UTC 2026","Tue Apr 14 01:23:52 UTC 2026","0","tests.account","test_funds_transfer_list","","","","test_get_funds_transfer_list_positive[admin-payload0]","Позитивные тесты на получение истории переводов/выводов средств"
"passed","Tue Apr 14 00:58:30 UTC 2026","Tue Apr 14 00:58:31 UTC 2026","563","tests.tickets","test_01_get_tickets","","","","test_get_tickets_unauthorized","Негативный тест: запрос без авторизации"
"skipped","Tue Apr 14 00:58:16 UTC 2026","Tue Apr 14 00:58:16 UTC 2026","0","tests.tickets","test_04_create_ticket","","","","test_create_ticket_invalid_message[client-None]","Негативный тест: создание тикета без сообщения"
